colonna,range,min,max,n,winrate,profit_u,roi_pct,break_even_odd
odd_2,3.05-3.10,3.0500000000000016,3.1000000000000014,67,0.7313432835820896,-4.279999999999999,-6.388059701492536,1.3673469387755102
odd_fav,2.20-2.25,2.200000000000001,2.250000000000001,148,0.7297297297297297,-9.759999999999998,-6.594594594594594,1.3703703703703705
odd_dog,3.45-3.50,3.4499999999999984,3.4999999999999982,139,0.7266187050359713,-9.719999999999999,-6.992805755395683,1.3762376237623761
odd_x,3.40-3.45,3.399999999999997,3.4499999999999966,270,0.725925925925926,-19.119999999999997,-7.081481481481481,1.3775510204081631
odd_x,4.05-4.10,4.0499999999999945,4.099999999999994,40,0.725,-2.879999999999999,-7.199999999999998,1.3793103448275863
odd_dog,3.30-3.35,3.299999999999999,3.3499999999999988,159,0.7232704402515723,-11.799999999999997,-7.4213836477987405,1.382608695652174
odd_2,2.80-2.85,2.8000000000000016,2.8500000000000014,43,0.7209302325581395,-3.3199999999999985,-7.720930232558136,1.3870967741935485
odd_2,3.25-3.30,3.2500000000000018,3.3000000000000016,46,0.717391304347826,-3.76,-8.17391304347826,1.393939393939394
odd_fav,2.55-2.60,2.550000000000001,2.6000000000000014,88,0.7159090909090909,-7.359999999999999,-8.363636363636363,1.3968253968253967
odd_1,2.20-2.25,2.200000000000001,2.250000000000001,97,0.711340206185567,-8.68,-8.948453608247423,1.4057971014492754
spread_fav_dog,1.95-2.00,1.9500000000000008,2.000000000000001,34,0.7058823529411765,-3.2799999999999994,-9.64705882352941,1.4166666666666665
odd_1,2.25-2.30,2.250000000000001,2.3000000000000007,78,0.7051282051282052,-7.599999999999998,-9.743589743589741,1.418181818181818
odd_1,2.55-2.60,2.550000000000001,2.6000000000000014,61,0.7049180327868853,-5.959999999999999,-9.770491803278688,1.4186046511627908
spread_fav_dog,1.70-1.75,1.7000000000000006,1.7500000000000007,40,0.7,-4.159999999999999,-10.399999999999999,1.4285714285714286
odd_1,1.80-1.85,1.8000000000000005,1.8500000000000005,86,0.6976744186046512,-9.2,-10.69767441860465,1.4333333333333333
odd_2,2.65-2.70,2.6500000000000012,2.700000000000001,46,0.6956521739130435,-5.039999999999999,-10.956521739130434,1.4375
odd_dog,3.75-3.80,3.7499999999999973,3.799999999999997,62,0.6935483870967742,-6.959999999999999,-11.225806451612902,1.441860465116279
odd_fav,1.80-1.85,1.8000000000000005,1.8500000000000005,116,0.6896551724137931,-13.599999999999998,-11.72413793103448,1.45
